2023-09-28 at 22:06:43 | INFO: 0x0c69Ee2d9a159227EBe5725636Faa55EEfCD86f6: not-eligible
2023-09-28 at 22:06:45 | INFO: 0x0E4F7EcBC0371A40a3f479c8baf87f6fAbdbcE8c: 401
2023-09-28 at 22:06:45 | INFO: 0x0E4F7EcBC0371A40a3f479c8baf87f6fAbdbcE8c: not-eligible
2023-09-28 at 22:06:47 | INFO: 0xe4E17663d23f608FC08dCAE772031BbF70Ae4812: 401
2023-09-28 at 22:06:47 | INFO: 0xe4E17663d23f608FC08dCAE772031BbF70Ae4812: not-eligible
2023-09-28 at 22:06:48 | INFO: 0xf29406B37Ea81c2941d8166E48F73E8104d8847b: 401
2023-09-28 at 22:06:48 | INFO: 0xf29406B37Ea81c2941d8166E48F73E8104d8847b: not-eligible
2023-09-28 at 22:06:55 | INFO: 0x03d051B8704987D5474334be63336996af4ed2be: 200
2023-09-28 at 22:06:55 | INFO: 0x03d051B8704987D5474334be63336996af4ed2be: eligible
2023-09-28 at 22:11:07 | INFO: Stopping bot
2023-09-28 at 22:11:10 | INFO: Starting bot
2023-09-28 at 22:11:43 | INFO: 0xa759e6937408b3c94EcaD23DB53c0928F595cc40: 401 not-eligible
2023-09-28 at 22:11:44 | INFO: 0x5f833A67b5fbd01fbaA1e7B44ddDD22bc19B314A: 401 not-eligible
2023-09-28 at 22:11:46 | INFO: 0xB697230E4b26d92c9a3d330854a68c9aB993A143: 401 not-eligible
2023-09-28 at 22:11:48 | INFO: 0x438E8052da84dE47293E332fDBb054831fbb6ca9: 401 not-eligible
2023-09-28 at 22:11:49 | INFO: 0x03d051B8704987D5474334be63336996af4ed2be: 200 eligible
2023-09-28 at 22:11:51 | INFO: 0xEec3bB512BaAd708150c778aCBdBAdfF05E5cF34: 401 not-eligible
2023-09-28 at 22:11:53 | INFO: 0x1e9142d3bA95423FD29DfE834fC5186e9228B9B6: 401 not-eligible
2023-09-28 at 22:11:55 | INFO: 0x5443D5899A1DDB6A3dc6EBa55643B4F78eA917CC: 401 not-eligible
2023-09-28 at 22:11:57 | INFO: 0x0c69Ee2d9a159227EBe5725636Faa55EEfCD86f6: 401 not-eligible
2023-09-28 at 22:11:58 | INFO: 0x0E4F7EcBC0371A40a3f479c8baf87f6fAbdbcE8c: 401 not-eligible
2023-09-28 at 22:12:00 | INFO: 0xe4E17663d23f608FC08dCAE772031BbF70Ae4812: 401 not-eligible
2023-09-28 at 22:12:02 | INFO: 0xf29406B37Ea81c2941d8166E48F73E8104d8847b: 401 not-eligible
2023-09-28 at 22:12:04 | INFO: 0xFAc1A90D9522bCbC2F2B7D633ac9F59703B0D973: 401 not-eligible
2023-09-28 at 22:12:05 | INFO: 0xd9220E36aF91117b1de04Ed7a5c78D3bC4eB8F04: 401 not-eligible
2023-09-28 at 22:12:07 | INFO: 0x20C7DA460D5eE15A6772340E007bD50b66926aca: 401 not-eligible
2023-09-28 at 22:14:38 | INFO: Starting bot
2023-09-28 at 22:16:34 | INFO: 0xa759e6937408b3c94EcaD23DB53c0928F595cc40: 401 not-eligible
